Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,CENTRAL,50,ADAMS,1,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"27,500",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,CENTRAL,50,GREEN LAKE,47,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"50,800",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,CENTRAL,50,JUNEAU,57,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"40,600",0.3
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,CENTRAL,50,MARQUETTE,77,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"33,200",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,CENTRAL,50,PORTAGE,97,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"51,200",0.3
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,CENTRAL,50,WAUPACA,135,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"56,900",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,CENTRAL,50,WAUSHARA,137,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"35,800",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,CENTRAL,50,WOOD,141,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"38,200",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,EAST CENTRAL,60,BROWN,9,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"67,300",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,EAST CENTRAL,60,CALUMET,15,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"50,600",0.3
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,EAST CENTRAL,60,DOOR,29,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"29,400",1.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,EAST CENTRAL,60,FOND DU LAC,39,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"115,500",1.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,EAST CENTRAL,60,KEWAUNEE,61,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"53,500",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,EAST CENTRAL,60,MANITOWOC,71,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"79,900",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,EAST CENTRAL,60,OUTAGAMIE,87,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"84,200",0.2
